Name,Description,Designator,Footprint,LibRef,Quantity,Manufacturer

"Capacitor 100 nF +/-10% 50 V 0805","Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)","C1","CAPC2013X95X50LL10T25","CMP-001-00018-6","1",""
"Capacitor 10µF +/-20% 25V 0805","Chip Capacitor, 10µF +/-20%, 25V, 0805, Thickness 1.45 mm","C2","CAPC0805(2012)145_L","CMP-001-00079-4","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C3","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C4","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C5","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C6","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C7","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C8","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C9","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C10","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C11","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C12","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"GRM21BZ71C106KE15L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 16V","C13","FP-GRM21B-0_2-e0_2_0_7-IPC_C","CMP-06035-007712-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C14","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"0603B104K500CT","CAP CER 0.1UF 50V X7R 0603","C15","FP-0603B104K500CT-IPC_C","CMP-45632-000007-1","1",""
"HSMH-C190","LED Uni-Color Red, 65 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","D1","AVAG-HSMX-C190_V","CMP-007-00014-2","1","Avago"
"HSMG-C190","LED Uni-Color Green, 52 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","D2","AVAG-HSMX-C190_V","CMP-007-00013-2","1","Avago"
"HSMR-C190","LED Uni-Color Blue, 78 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","D3","AVAG-HSMX-C190_V","CMP-007-00015-2","1","Avago"
"TW-05-03-F-D-378-078","Through-Hole Board Stacker, Vertical, -55 to 125 degC, 2 mm Pitch, 10-Pin, Male, RoHS","JTAG1","SMTC-TW-05-03-X-D-378-078","CMP-1029-00381-1","1","Samtec"
"S2B-PH-K-S(LF)(SN)","Male Header, Pitch 2 mm, 1 x 2 Position, Height 4.8 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","P","JST-S2B-PH-K-S_V","CMP-1755-00004-1","1",""
"1KR5J","1K 0.125W 5% 0805 (2012 Metric)  SMD","R1","RESC0805(2012)_L","CMP-009-00076-2","1",""
"1KR5J","1K 0.125W 5% 0805 (2012 Metric)  SMD","R2","RESC0805(2012)_L","CMP-009-00076-2","1",""
"1KR5J","1K 0.125W 5% 0805 (2012 Metric)  SMD","R3","RESC0805(2012)_L","CMP-009-00076-2","1",""
"RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","R4","FP-RC0603-0_55-IPC_C","CMP-2100-03664-2","1",""
"1825255-1","Slide Switch, SPDT, 0.3A, 125 V, -20 to 85 degC, 5-Pin THD, RoHS, Tray","SW1","TECO-1825255-1_V","CMP-011-00001-2","1","TE Connectivity"
"1825255-1","Slide Switch, SPDT, 0.3A, 125 V, -20 to 85 degC, 5-Pin THD, RoHS, Tray","SW2","TECO-1825255-1_V","CMP-011-00001-2","1","TE Connectivity"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP1","KSTN-5003","CMP-002-00037-2","1","Keystone"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP2","KSTN-5003","CMP-002-00037-2","1","Keystone"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP3","KSTN-5003","CMP-002-00037-2","1","Keystone"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP4","KSTN-5003","CMP-002-00037-2","1","Keystone"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP5","KSTN-5003","CMP-002-00037-2","1","Keystone"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP6","KSTN-5003","CMP-002-00037-2","1","Keystone"
"5003","Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS","TP7","KSTN-5003","CMP-002-00037-2","1","Keystone"
"LCMXO2-640HC-4TG100C","MachXO2 High Performance CPLD with 640 LUTs, Voltage Regulator, 2.5V/3.3V, 100-pin TQFP, Speed Grade-4, Commercial Grade, Halogen Free (RoHS)","U1","TQFP100_M","CMP-0111-00271-1","1",""
"ASE-50.000MHZ-LC-T","XTAL Oscillator 50MHz ±50ppm CMOS 3.3V 4-SMD 3.2mm x 2.5mm","Y","FP-ASE-MFG","CMP-27762-009764-1","1",""
